property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
68,2,0,1000,ویلاشهر-پارک کبیرزاده,,,,1900000000,,شمالی,,,,,,نیم ساعت آب چاه  نیم ساعت آب کانال  دو طرف دیوار کاه گلی  چهار دیواری با درب  سند تک برگ,6,68,68,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
69,1,1,251,خیابان دلگشا,,,2,2200000000,کلنگی,جنوبی,کاهگلی,موزاییک,,,1, مناسب برای انبار  بدون کاغذ قیمت,6,69,69,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
70,2,0,260,شهرک سعیدفر,,,,1255000000,,شمالی,,,,,,بدون کاغذ قیمت  سند تک برگ,6,70,70,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
71,1,2,175,خیابان شریعتی,,,2,3326000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,برگه کارشناسی از ابراهیم عبدالعظیمی  پکیج  معاوضه با ویلاشهر یا منتظری شمالی  بدون عکس و فیلم,6,71,71,buy,0,0,upload/property/thumbnail/photo_2022-11-12_12-22-57.jpg,,,,,,,,1,1,
76,4,0,413,بلوار ایزدی,,,,3570920000,,شرقی,کاهگلی,موزاییک,MDF,,1,30 دقیقه آب چاه  پمپ استخر  شومینه  توالت  انباری  تخفیف نقدی  آبنما  معاوضه  تسویه حساب شهرداری  با کاغذ قیمت:ابراهیم پورنمازیان,6,76,76,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
77,2,0,163,15 خرداد,,,,978000000,,جنوبی,,,,,,کوچه 8 متری-طرح باغات  یه پلاک قبل مغازه ها  بدون کاغذ قیمت,6,77,77,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
78,1,0,524,خیابان رجایی جنوبی,,,4,7509192500,آهن,شمالی,سنگ و آجر,موزاییک,فلز,1,1,دو خواب در طبقه اول دو خواب سر پله  زیرزمین  دو کولر  موکت و پرده  بدون عکس و فیلم  با کاغذ قیمت: ابراهیم پورنمازیان,6,78,78,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
79,1,0,138,خیابان معرفت,,,3,3465000000,نیمه اسکلت,جنوبی,اجرنما,موزاییک,آلمینیوم,1,1,دو خواب سرپله  با تسویه شهرداری  بالابر  با کاغذ قیمت: مهدی خانیان  بدون عکس و فیلم  ,6,79,79,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
80,1,0,150,خیابان منتظری جنوبی,,,,1800000000,,شمالی,,,,,,کلنگی(قابل سکونت)  2 متر عقب نشینی  معرف امید مرادی  بدون کاغذ قیمت  بدون عکس و فیلم,6,80,80,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
83,2,0,180,خیابان منتظری جنوبی,,,,800000000,,شمالی,,,,,,نقدی تخفیف دارد  بدون کاغذ قیمت,6,83,83,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
